Security Code,Company Name,Security Id
500113,Steel Authority of India Ltd.,SAIL
500114,Titan Company Limited,TITAN
500116,IDBI Bank Ltd,IDBI
500117,DCW Ltd.,DCW
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG
500120,Diamines & Chemicals Ltd.,DIAMINESQ
500123,Elantas Beck India Ltd,ELANTAS
500124,Dr. Reddy's Laboratories Ltd.,DRREDDY
500125,E.I.D. Parry (India) Ltd.,EIDPARRY
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL
500128,Electrosteel Castings Ltd.,ELECTCAST
500133,Esab India Ltd.,ESABINDIA
500135,EPL LIMITED,EPL
500136,Ester Industries Ltd.,ESTER
500142,FGP Ltd,FGP
500143,P.H. Capital Ltd.,PHCAP
500144,Finolex Cables Ltd.,FINCABLES
500147,JOHN COCKERILL INDIA LIMITED,COCKERILL
500148,Uflex Limited,UFLEX
500150,Foseco India Ltd,FOSECOIND
500151,Golden Tobacco Ltd.,GOLDENTOBC
500153,Ganesh Benzoplast Ltd.,GANESHBE
500159,Metroglobal Limited,METROGLOBL
500160,GTL Ltd,GTL
500163,Godfrey Phillips India Ltd.,GODFRYPHLP
500164,Godrej Industries Ltd.,GODREJIND
500165,Kansai Nerolac Paints,KANSAINER
500166,Goodricke Group Ltd.,GOODRICKE
500168,Goodyear India Ltd.,GOODYEAR
500170,GTN Industries Limited,GTNINDS
500171,GHCL Ltd.,GHCL
500173,GFL LIMITED,GFLLIMITED
500174,Gujarat Lease Financing Limited,GLFL
500179,HCL Infosystems Ltd,HCL-INSYS
500180,HDFC Bank Ltd.,HDFCBANK
500182,Hero MotoCorp Limited,HEROMOTOCO
500183,HFCL LIMITED,HFCL
500184,Himadri Speciality Chemical Ltd.,HSCL
500185,Hindustan Construction Co. Ltd.,HCC
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP
500187,AGI GREENPAC LIMITED,AGI
500188,Hindustan Zinc Ltd.,HINDZINC
500189,NDL Ventures Limited,NDLVENTURE
500191,HMT Limited,HMT
500192,Prag Bosimi Synthetics Ltd.,PRAGBOS
500193,HLV LIMITED,HLVLTD
500199,IG Petrochemicals Ltd,IGPL
500201,India Glycols Ltd,INDIAGLYCO
500202,India Lease Devl. Ltd.,INDLEASE
500206,Margo Finance Limited,MARGOFIN
500207,Indo Rama Synthetics (India) Ltd.,INDORAMA
500209,Infosys Ltd,INFY
500210,Ingersoll-Rand (India) Ltd.,INGERRAND
500213,International Travel House Ltd,ITHL
500214,Ion Exchange (India) Ltd,IONEXCHANG
500215,Agro Tech Foods Ltd,ATFL
500219,Jain Irrigation Systems Ltd.,JISLJALEQS
500220,Jasch Industries Ltd.,JASCH
500227,Jindal Poly Films Ltd.,JINDALPOLY
500228,JSW Steel Limited,JSWSTEEL
500231,Umang Dairies Limited,UMANGDAIRY
500233,Kajaria Ceramics Ltd,KAJARIACER
500234,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM
500235,Kalyani Steels Ltd,KSL
500236,Kanel Industries Limited,KANELIND
500238,Whirlpool of India Ltd,WHIRLPOOL
500239,K.G.Denim Ltd,KGDENIM
500240,Kinetic Engineering Ltd.,KINETICENG
500241,Kirloskar Brothers Ltd.,KIRLOSBROS
500243,Kirloskar Industries Ltd,KIRLOSIND
500245,Kirloskar Ferrous Industries Ltd.,KIRLFER
500246,Envair Electrodyne Ltd.,ENVAIREL
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK
500248,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND
500249,KSB LIMITED,KSB
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD
500251,Trent Ltd [Lakme Ltd],TRENT
500252,Lakshmi Machine Works Ltd.,LAXMIMACH
500253,Lic Housing Finance Ltd.,LICHSGFIN
500257,Lupin Ltd,LUPIN
500259,Lyka Labs Ltd.,LYKALABS
500260,The Ramco Cements Limited,RAMCOCEM
500262,HYBRID FINANCIAL SERVICES LIMITED,HYBRIDFIN
500264,Mafatlal Industries Ltd.,MAFATIND
500265,Maharashtra Seamless Ltd.,MAHSEAMLES
500266,Maharashtra Scooters Ltd.,MAHSCOOTER
500267,Majestic Auto Ltd.,MAJESAUT
500268,Manali Petrochemicals Ltd.,MANALIPETC
500270,Baroda Rayon Corpn. Ltd.,BARODARY
500271,Max Financial Services Limited,MFSL
500277,Mid India Industries Limited,MIDINDIA
500279,Mirc Electronics Ltd,MIRCELECTR
500280,Century Enka Ltd.,CENTENKA
500282,Modern Thread (India) Ltd.,MODTHREAD
500284,Lords Chloro Alkali Ltd,LORDSCHLO
500285,SpiceJet Limited,SPICEJET
500288,Morepen Laboratories Ltd.,MOREPENLAB
500290,M.R.F. Ltd.,MRF
500292,HeidelbergCement  India Limited,HEIDELBERG
500294,NCC Limited,NCC
500295,Vedanta Limited,VEDL
500296,Nahar Spinning Mills Ltd.,NAHARSPING
500298,Naperol Investments Limited,NAPEROL
500300,Grasim Industries Ltd,GRASIM
500302,Piramal Enterprises Limited,PEL
500304,NIIT Ltd.,NIITLTD
500306,Jaykay Enterprises Limited,JAYKAY
500307,Nirlon Limited,NIRLON
500312,Oil And Natural Gas Corporation Ltd,ONGC
500313,Oil Country Tubular Ltd.,OILCOUNTUB
500314,Oriental Hotels Ltd.,ORIENTHOT
500317,Oswal Agro Mills Ltd.,OSWALAGRO
500319,Indian Sucrose Ltd.,INDSUCR
500322,Panyam Cements & Mineral Inds. Ltd.,PANCM
500325,Reliance Industries Ltd,RELIANCE
500327,Pil Italica Lifestyle Limited,PILITA
500330,Raymond Limited,RAYMOND
500331,Pidilite Industries Ltd.,PIDILITIND
500333,Pix Transmissions Ltd.,PIXTRANS
500335,Birla Corporation Ltd.,BIRLACORPN
500336,Surya Roshni Ltd.,SURYAROSNI
500337,Prime Securities Ltd.,PRIMESECU
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN
500339,Rain Industries Limited,RAIN
500342,Prudential Sugar Corporation Ltd,PRUDMOULI
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND
500346,Punjab Communications Limited,PUNJCOMMU
500350,RSWM Limited,RSWM
500354,Rajshree Sugars & Chemicals Ltd.,RAJSREESUG
500355,Rallis India Ltd,RALLIS
500356,Shree Rama Newsprint Limited,RAMANEWS
500357,Rama Paper Mills Limited,RAMAPPR-B
500360,Rapicut Carbides Ltd.,RAPICUT
500365,WELSPUN SPECIALTY SOLUTIONS LIMITED,WELSPLSOL
500367,Rubfila International Ltd.,RUBFILA
500368,Patanjali Foods Limited,PATANJALI
500370,Salora International Limited,SALORAINTL
500378,Jindal Saw Ltd.,JINDALSAW
500380,JK Lakshmi Cement Limited,JKLAKSHMI
500387,Shree Cements Ltd.,SHREECEM
500388,Shree Krishna Paper Mills & Industr,SKPMIL
500390,Reliance Infrastructure Ltd,RELINFRA
500400,Tata Power Co. Ltd,TATAPOWER
500402,SPML Infra Limited,SPMLINFRA
500403,Sundram Fasteners Ltd.,SUNDRMFAST
500404,Sunflag Iron & Steel Co. Ltd.,SUNFLAG
500405,Supreme Petrochem Ltd.,SPLPETRO
500407,Swaraj Engines Ltd.,SWARAJENG
500408,Tata Elxsi Ltd,TATAELXSI
500410,ACC Ltd,ACC
500411,Thermax Ltd.,THERMAX
500412,Thirumalai Chemicals Ltd.,TIRUMALCHM
500413,Thomas Cook (India) Ltd.,THOMASCOOK
500414,Timex Group India Ltd,TIMEX
500418,Tokyo Plast International Ltd.,TOKYOPLAST
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM
500421,TPI India Ltd.,TPINDIA
500422,Transchem Limited.,TRANSCHEM
500425,Ambuja Cements Ltd.,AMBUJACEM
500426,UTL Industries Limited,UTLINDS
500429,Uniphos Enterprises Limited.,UNIENTER
500439,Vardhman Holdings Limited,VHL
500440,Hindalco Industries Ltd.,HINDALCO
500444,West Coast Paper Mills Limited,WSTCSTPAPR
500449,Hindustan Organic Chemicals Ltd.,HOCL
500450,MPIL CORPORATION LIMITED,MPILCORPL
500456,Pasupati Acrylon Ltd.,PASUPTAC
500458,Kore Foods Limited,KORE
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH
500460,Mukand Ltd.,MUKANDLTD
500463,BLACK BOX LIMITED,BBOX
500464,UCAL LIMITED,UCAL
500467,Harrisons Malayalam Ltd.,HARRMALAYA
500469,Federal Bank Ltd.,FEDERALBNK
500470,TATA STEEL LIMITED,TATASTEEL
500472,SKF India Ltd.,SKFINDIA
500477,Ashok Leyland Ltd.,ASHOKLEY
500480,Cummins India Ltd.,CUMMINSIND
500483,Tata Communications Limited,TATACOMM
500488,Abbott India Ltd.,ABBOTINDIA
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG
500493,Bharat Forge Ltd,BHARATFORG
500495,Escorts Kubota Limited,ESCORTS
500500,Hindustan Motors Ltd.,HINDMOTORS
500510,Larsen & Toubro Limited,LT
500520,Mahindra & Mahindra Ltd.,M&M
500530,Bosch Ltd,BOSCHLTD
500540,Premier Limited,
500547,Bharat Petroleum Corpn. Ltd.,BPCL
500550,Siemens Ltd.,SIEMENS
500570,Tata Motors Ltd.,TATAMOTORS
500575,Voltas Ltd.,VOLTAS
500620,Great Eastern Shipping Co. Ltd.,GESHIP
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT
500650,Excell Industries Ltd.,EXCELINDUS
500655,GARWARE HI-TECH FILMS LIMITED,GRWRHITECH
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC
500672,Novartis India Limited.,NOVARTIND
500674,Sanofi India Ltd,SANOFI
500680,Pfizer Ltd.,PFIZER
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC
500696,Hindustan Unilever Ltd.,HINDUNILVR
500710,Akzo Nobel India Limited,AKZOINDIA
500730,NOCIL Ltd,NOCIL
500770,Tata Chemicals Ltd,TATACHEM
500777,Tamilnadu Petroproducts Ltd,TNPETRO
500780,Zuari Industries Limited,ZUARIIND
500790,Nestle India Ltd.,NESTLEIND
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
500820,Asian Paints Ltd.,ASIANPAINT
500825,Britannia Industries Ltd.,BRITANNIA
500830,Colgate-Palmolive (India) Ltd.,COLPAL
500840,EIH Ltd,EIHOTEL
500850,Indian Hotels Co. Ltd,INDHOTEL
500870,Castrol India Ltd,CASTROLIND
500875,ITC Ltd,ITC
500877,Apollo Tyres Ltd,APOLLOTYRE
500878,Ceat Ltd.,CEATLTD
500890,Modi Rubber Ltd.,MODIRUBBER
500940,Finolex Industries Ltd.,FINPIPE
501110,Sunrise Industrial Traders Ltd.,SUNRINV
501111,Gold Rock Investments Ltd.,ZGOLDINV
501144,Peoples Investments Ltd.,PEOPLIN
501148,Dalal Street Investments Ltd.,DSINVEST
501150,Centrum Capital Limited,CENTRUM
501242,TCI Finance Limited,TCIFINANCE
501261,Kratos Energy & Infrastructure Limited,KRATOSENER
501270,ANTARIKSH INDUSTRIES LIMITED,ANTARIKSH
501295,Industrial Investment Trust Ltd.,IITL
501298,Industrial & Prudential Inv. Co. Lt,INDPRUD
501301,Tata Investment Corporation Ltd.,TATAINVEST
501311,Jayabharat Credit Ltd.,JAYBHCR
501314,PRISMX GLOBAL VENTURES LIMITED,PRISMX
501343,Motor & General Finance (M.G.F.) Lt,MOTOGENFIN
501351,Rapid Investments Ltd.,RAPIDIN
501370,Walchand Peoplefirst Limited,WALCHPF
501386,Swastik Safe Deposit & Invest. Ltd.,ZSWASTSA
501391,W.H. Brady & Co. Ltd.,WHBRADY
501421,TechNVision Ventures Limited,TECHNVISN
501423,Shaily Engineering Plastics Ltd.,SHAILY
501425,Bombay Burmah Trading Corpn. Ltd.,BBTC
501430,Bombay Cycle & Motor Agency Ltd.,BOMBCYC
501455,Greaves Cotton Ltd.,GREAVESCOT
501477,Muller & Phipps (India) Ltd.,MULLER
501479,SPRINGFORM TECHNOLOGY LIMITED,SFTL
501622,Amalgamated Electricity Co. Ltd.,AMALGAM
501630,Anand Projects Ltd,ANANDPROJ
501700,India Nivesh Limited,INDIANVSH
501831,Coastal Corporation Limited,COASTCORP
501833,Chowgule Steamships Ltd.,CHOWGULSTM
501848,Global Offshore Services Ltd,GLOBOFFS
502015,ASI INDUSTRIES LIMITED,ASIIL
502090,Sagar Cements Ltd,SAGCEM
502133,Hemadri Cements Limited,HEMACEM
502137,Deccan Cements Ltd.,DECCANCE
502157,Mangalam Cement Ltd.,MANGLMCEM
502168,NCL Industries Limited,NCLIND
502175,Saurashtra Cement Limited,SAURASHCEM
502180,Shree Digvijay Cement Co. Ltd.,SHREDIGCEM
502219,BOROSIL RENEWABLES LIMITED,BORORENEW
502250,LERTHAI FINANCE LIMITED,LERTHAI
502281,Triveni Glass Ltd.,TRIVENIGQ
502294,Nilachal Refractories Ltd.,NILACHAL
502330,ANDHRA PAPER LIMITED,ANDHRAPAP
502355,Balkrishna Industries Ltd.,BALKRISIND
502420,Orient Paper & Industries Ltd.,ORIENTPPR
502445,Citadel Realty And Developers Limited,CITADEL
502448,Rollatainters Ltd.,ROLLT
502450,Seshasayee Paper & Boards Ltd.,SESHAPAPER
502587,NATH INDUSTRIES LIMITED,NATHIND
502589,VAPI ENTERPRISE LIMITED,VAPIENTER
502820,DCM Ltd.,DCM
502850,Gaekwar Mills Ltd.,ZGAEKWAR
502865,Forbes & Company Ltd,FORBESCO
502873,H.P. Cotton Textile Mills Ltd.,HPCOTTON
502893,United Interactive Limited,UNITEDINT
502901,JAMSHRI REALTY LIMITED,JAMSHRI
502933,Katare Spinning Mills Ltd.,KATRSPG
502937,Kesoram Industries Ltd,KESORAMIND
502958,Lakshmi Mills Company ltd,LAKSHMIMIL
502986,Vardhman Textiles Limted,VTL
503031,Peninsula Land Limited,PENINLAND
503092,Pasupati Spg. & Wvg. Mills Ltd.,PASUSPG
503100,The Phoenix Mills Ltd.,PHOENIXLTD
503101,Marathon Nextgen Realty Ltd,MARATHON
503127,Raja Bahadur International Ltd,RAJABAH
503162,Reliance Chemotex Industries Ltd.,RELCHEMQ
503169,Ruby Mills Ltd.,RUBYMILLS
503229,Simplex Realty Limited,SIMPLXREA
503310,Swan Energy Ltd.,SWANENERGY
503349,Victoria Mills Ltd.,VICTMILL
503622,S.V. Trading & Agencies Ltd.,ZSVTRADI
503624,Svaraj Trading & Agencies Ltd.,ZSVARAJT
503626,Kshitij Investments Ltd,KSHITIJ
503635,Shree Salasar Investment Ltd.,SALSAIN
503639,Indsoya Limited,INDSOYA
503641,Zodiac Ventures Limited,ZODIACVEN
503657,Veer Energy & Infrastructure Limited,VEERENRGY
503659,SW Investments Limited,SW1
503663,Tilak Ventures Limited,TILAK
503669,K K Fincorp Limited,KKFIN
503671,Unijolly Investments Co. Ltd.,UNIJOLL
503675,Wagend Infra Venture Limited,WAGEND
503681,Elcid Investments Ltd.,ELCIDIN
503685,Mediaone Global Entertainment Limited,MEDIAONE
503689,Healthy Investments Ltd.,HEALINV
503696,Shreenath Investments Co. Ltd.,SHRENTI
503722,Banswara Syntex Ltd.,BANSWRAS
503772,Modella Woollens Ltd.,MODWOOL
503776,Modipon Ltd.,MODIPON
503804,Shri Dinesh Mills Ltd.,SHRIDINE
503806,SRF Ltd.,SRF
503811,Siyaram Silk Mills Ltd.,SIYSIL
503816,Swadeshi Polytex Ltd.,SWADPOL
503863,Shree Manufacturing Co. Ltd.,SHRMFGC
503893,Satyam Silk Mills Ltd,ZSATYASL
503960,Bharat Bijlee Ltd.,BBL
504000,Elpro International Ltd.,ELPROINTL
504028,GEE Ltd.,GEE
504036,Hind Rectifiers Ltd.,HIRECT
504058,Indo National Limited,NIPPOBATRY
504067,Zensar Technologies Ltd.,ZENSARTECH
504076,Jyoti Ltd.,JYOTI
504080,JSL Industries Ltd.,JSLINDL
504084,Kaycee Industries Ltd.,KAYCEEI
504092,Indokem Ltd,INDOKEM
504093,Panasonic Energy India Co. Ltd.,PANAENERG
504112,Nelco Ltd,NELCO
504132,Permanent Magnets Ltd.,PERMAGN
504176,High Energy Batteries (India) Ltd.,HIGHENE
504180,Standard Batteries Ltd.,STDBAT
504212,Universal Cables Ltd.,UNIVCABLES
504220,W.S. Industries (India) Ltd.,WSI
504240,Delton Cables Ltd.,DLTNCBL
504258,Lakshmi Electrical Control Systems,LAKSELEC
504273,MODULEX CONSTRUCTION TECHNOLOGIES LIMITED,MODULEX
504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT
504340,Confidence Finance And Trading Limited,CONFINT
504341,RAVINDRA ENERGY LIMITED,RELTD
504346,G.D. Trading & Agencies Ltd.,GDTRAGN
504351,Empower India Limited,EMPOWER
504356,Multipurpose Trading & Agencies Ltd,ZMULTIPU
504365,Ridhi Synthetics Ltd.,RIDHISYN
504369,Grandma Trading & Agencies Ltd.,GRANDMA
504375,Softbpo Global Services Ltd.,SOFTBPO
504378,Nyssa Corporation Limited,NYSSACORP
504380,FLOMIC GLOBAL LOGISTICS LIMITED,FLOMIC
504392,Krishna Ventures Limited,KRISHNA
504397,Ganesh Holding Ltd.,GANHOLD
504398,SJ Corporation Limited,SJCORP
504605,Uni-Abex Alloy Products Ltd.,UNIABEXAL
504614,Sarda Energy & Minerals Ltd,SARDAEN
504646,Bhagwati Autocast Limited,BGWTATO
504648,Bombay Wire Ropes Ltd.,BOMBWIR
504731,Indian Bright Steel Co. Ltd.,IBRIGST
504741,Indian Hume Pipe Co. Ltd.,INDIANHUME
504786,Investment & Precision Castings Ltd,INVPRECQ
504810,Informed Technologies India Ltd.,INFORTEC
504840,Kaira Can Co. Ltd.,KAIRA
504879,ORIENT CERATECH LIMITED,ORIENTCER
504882,National Standard (India) Limited,NATIONSTD
504903,Rathi Steel & Power Ltd,RATHIST
504908,Duncan Engineering Limited,DUNCANENG
504918,Sandur Manganese & Iron Ores Ltd.,SANDUMA
504959,Stovec Industries Ltd.,STOVACQ
504961,Tayo Rolls Ltd.,TATAYODOGA
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG
504988,Welcast Steels Ltd.,ZWELCAST
504998,Western Ministil Ltd.,WMINIMT
505010,Automotive Axles Ltd.,AUTOAXLES
505032,Automobile Products of India Ltd.,AUTOPRD
505036,Automobile Corpn. of Goa Ltd.,ACGL
505075,Setco Automotive Limited,SETCO
505100,India Radiators Ltd.,INRADIA
505160,Talbros Automotive Components Ltd.,TALBROAUTO
505163,Z.F. Steering Gear (India) Limited,ZFSTEERING
505192,SML ISUZU LIMITED,SMLISUZU
505196,TIL Ltd.,TIL
505200,Eicher Motors Ltd.,EICHERMOT
505212,JAINEX AAMCOL LTD.,JAINEX
505216,Alfred Herbert (India) Ltd.,ALFREDHE
505232,Veljan Denison Limited,VELJAN
505242,Dynamatic Technologies Ltd.,DYNAMATECH
505250,G. G. Dandekar Properties Limited,GGDPROP
505255,GMM Pfaudler Ltd.,GMMPFAUDLR
505283,Kirloskar Pneumatic Co.Ltd.,KIRLPNU
505285,Tulive Developers Limited,TULIVE
505299,KPT INDUSTRIES LIMITED,KPT
505302,Lakshmi Automatic Loom Works Ltd.,LXMIATO
505324,Manugraph India Ltd,MANUGRAPH
505336,HARSHIL AGROTECH LIMITED,HARSHILAGR
505343,Monotype India Ltd.,MONOT
505355,Nesco Ltd,NESCO
505358,Integra Engineering India Ltd.,INTEGRAEN
505368,SEMAC CONSULTANTS LIMITED,SEMAC
505400,Texmaco Infrastructure & Holdings Ltd,TEXINFRA
505412,Wendt (India) Ltd.,WENDT
505502,PS IT Infrastructure & Services Limited,PSITINFRA
505504,Sindu Valley Technologies Ltd.,SINDUVA
505509,Responsive Industries Ltd,RESPONIND
505515,Shyamkamal Investments Ltd.,SHYMINV
505520,HEM Holdings and Trading Ltd.,ZHEMHOLD
505523,Maharashtra Corporation Ltd.,MAHACORP
505526,DOLAT ALGOTECH LIMITED,DOLATALGO
505533,WESTLIFE FOODWORLD LIMITED,WESTLIFE
505537,Zee Entertainment Enterprises Ltd.,ZEEL
505585,Kovalam Inv. & Trading Co.Ltd.,ZKOVALIN
505590,SVP GLOBAL TEXTILES LIMITED,SVPGLOB
505594,Multiplus Holdings Ltd.,MULTIIN
505650,Skyline Millars Ltd,SKYLMILAR
505681,Bimetal Bearings Ltd,BIMETAL
505685,Taparia Tools Ltd.,TAPARIA
505688,Bharat Gears Ltd.,BHARATGEAR
505690,Brady & Morris Engineering Co. Ltd.,BRADYM
505693,La Tim Metal & Industries Limited,LATIMMETAL
505700,Elecon Engineering Co.Ltd.,ELECON
505703,Deccan Bearings Ltd.,DECANBRG
505710,Grauer & Weil (India) Ltd.,GRAUWEIL
505712,HIM TEKNOFORGE LIMITED,HIMTEK
505714,Gabriel India Ltd.,GABRIEL
505720,Hercules Hoists Ltd.,HERCULES
505725,ALGOQUANT FINTECH LIMITED,AQFINTECH
505726,IFB Industries Limited,IFBIND
505729,Singer India Limited,SINGER
505737,International Combustion (India) Lt,INTLCOMBQ
505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE
505750,Josts Engineering Co. Ltd.,JOSTS
505790,Schaeffler India Limited,SCHAEFFLER
505797,Mipco Seamless Rings (Gujarat) Ltd.,MPCOSEMB
505800,Rane Holdings Ltd.,RANEHOLDIN
505807,Rolcon Engineering Co. Ltd.,ROLCOEN
505827,SNL Bearings Ltd.,SNL
505840,Jaipan Industries Ltd,JAIPAN
505850,Mangal Credit and Fincorp Limited,MANCREDIT
505854,TRF Ltd,TRF
505872,WPIL Ltd,WPIL
505890,Kennametal India Limtied,KENNAMET
505893,HINDUSTAN HARDY LIMITED,HINDHARD
505978,Triton Valves Ltd.,TRITONV
506003,Sudal Industries Limited,SUDAI
506022,Prakash Industries Ltd.,PRAKASH
506024,HARIYANA VENTURES LIMITED,HVL
506042,Prabhu Steel Industries Ltd.,ZPRBHSTE
506074,Arshiya Limited,ARSHIYA
506076,Grindwell Norton Ltd.,GRINDWELL
506105,Stanrose Mafatlal Investments & Fin,STANROS
506109,Genesys International Corporation Ltd.,GENESYS
506120,Alna Trading & Exports Ltd.,ALNATRD
506122,Pankaj Piyush Trade & Inv. Ltd,PANKAJPIYUS
506128,Parnax Lab Limited,PARNAXLAB
506134,GOURMET GATEWAY INDIA LIMITED,GOURMET
506146,Visagar Polytex Ltd,VIVIDHA
506161,Ishwarshakti Holdings & Traders Ltd,ISHWATR
506162,Terraform Magnum Limited,TERRAFORM
506166,Apis India Ltd,APIS
506178,VELOX INDUSTRIES LIMITED,VELOXIND
506180,EMERGENT INDUSTRIAL SOLUTIONS LIMITED,EMERGENT
506184,Kanani Industries Ltd,KANANIIND
506186,GALAXY CLOUD KITCHENS LIMITED,GCKL
506190,Sarvamangal Mercantile Co. Ltd.,ZSARVAMA
506194,Arihant Superstructures Limited,ARIHANTSUP
506196,Viksit Engineering Ltd,VIKSHEN
506197,Bliss GVS Pharma Limited,BLISSGVS
506222,Styrenix Performance Materials Limited,STYRENIX
506235,Alembic  Ltd,ALEMBICLTD
506248,Amines & Plasticizers Ltd,AMNPLST
506260,Anuh Pharma Ltd.,ANUHPHR
506261,MODISON LIMITED,MODISONLTD
506285,Bayer CropScience Limited.,BAYERCROP
506313,Sashwat Technocrats Limited,SASHWAT
506365,Chemo Pharma Laboratories Ltd.,CHEMOPH
506390,Heubach Colorants India Limited,HEUBACHIND
506395,Coromandel International Limited,COROMANDEL
506401,Deepak Nitrite Limited,DEEPAKNTR
506405,DMCC SPECIALITY CHEMICALS LIMITED,DMCC
506414,FERMENTA BIOTECH LIMITED,FERMENTA
506480,GOCL Corporation Limited,GOCLCORP
506520,Jayshree Chemicals Ltd.,JAYCH
506525,Kanoria Chemicals & Industries Ltd.,KANORICHEM
506528,Keltech Energies Ltd.,KELENRG
506530,Kemp & Company Limited,KEMP
506532,Nitta Gelatin India Ltd,NITTAGELA
506543,M.P. Agro Industries Ltd.,MPAGI
506579,Oriental Carbon & Chemicals Ltd.,OCCL
506590,PCBL LIMITED,PCBL
506597,Amal Ltd,AMAL
506605,Polychem Ltd,POLYCHEM
506618,Punjab Chemicals and Crop Protection Ltd.,PUNJABCHEM
506640,Gujchem Distillers India Ltd.,GUJCMDS
506642,Sadhana Nitrochem Ltd.,SADHNANIQ
506655,Sudarshan Chemical Indus. Ltd.,SUDARSCHEM
506680,Tecil Chemicals & Hydro Power Limit,TECILCHEM
506685,Ultramarine & Pigments Ltd.,ULTRAMAR
506687,Transpek Industry Ltd.,TRANSPEK
506690,Unichem Laboratories Ltd.,UNICHEMLAB
506734,Mysore Petro Chemicals Ltd.,MYSORPETRO
506767,Alkyl Amines Chemicals Ltd.,ALKYLAMINE
506808,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED,TUTIALKA
506820,AstraZeneca Pharma India Ltd.,ASTRAZEN
506852,Primo Chemicals Limited,PRIMO
506854,TANFAC Industries Ltd.,TANFACIND
506858,Gujarat Petrosynthese Ltd.,GUJPETR
506879,Gujarat Themis Biosyn Ltd.,GUJTHEM
506906,Saptak Chem And Business Limited,SCBL
506919,Makers Laboratories Ltd.,MAKERSL
506935,Continental Chemicals Ltd.,CONTCHM
506943,J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM
